model,MAE_kW,RMSE_kW,WAPE_percent,validation_MAE_kW,fit_and_selection_seconds,MAE_improvement_vs_baseline_percent
Weekly baseline,2.234462022781372,4.849556922912598,42.494873046875,2.0889129638671875,0.0,0.0
XGBoost,1.6754672527313232,2.9745702743530273,31.86393928527832,1.6100599765777588,2.568670056999963,25.016973407954087
LSTM,1.6840320825576782,3.0301742553710938,32.026824951171875,1.5351113080978394,7.807154473000082,24.633667281511453
