epoch,train_scaled_MSE,validation_MAE_kW
1,0.9739285839196726,3.8879668712615967
2,0.8000920368821581,2.6131765842437744
3,0.4111332717192107,1.8455100059509277
4,0.3172982363081769,1.8274339437484741
5,0.30513372926751553,1.8661366701126099
6,0.3005632502927306,1.7556684017181396
7,0.29286893403661846,1.7203706502914429
8,0.29048980879520186,1.651908040046692
9,0.28526832863112184,1.7545145750045776
10,0.28530340300080526,1.6251509189605713
11,0.2849164044494787,1.7909126281738281
12,0.28486462900651754,1.6231048107147217
13,0.2806743724240783,1.6783974170684814
14,0.279446701647827,1.6581110954284668
15,0.2780258339412963,1.6116820573806763
16,0.2766345316204577,1.6279263496398926
17,0.27931471061969987,1.669961929321289
18,0.2746436994378738,1.5351113080978394
19,0.27743204242616726,1.6808233261108398
20,0.2724411613951072,1.6361382007598877
21,0.2752701523224952,1.6369333267211914
22,0.2735345753846248,1.5740630626678467
23,0.2679754417410213,1.7045783996582031
